name,description,price,photo_url
"PINNTORP / PINNTORP Table and 4 chairs, 49 1/4 ""","Table and 4 chairs,",309,https://www.ikea.com/us/en/images/products/pinntorp-pinntorp-table-and-4-chairs-light-brown-stained-white-stained-light-brown-stained__1301604_pe937493_s5.jpg?f=xxs
"PINNTORP Gateleg table, 26 3/8/48 7/8x29 1/2 ""","Gateleg table,",229,https://www.ikea.com/us/en/images/products/pinntorp-gateleg-table-light-brown-stained-white-stained__1118101_pe872927_s5.jpg?f=xxs
"EKEDALEN Extendable table, 47 1/4/70 7/8x31 1/2 ""","Extendable table,",299,https://www.ikea.com/us/en/images/products/ekedalen-extendable-table-dark-brown__0736963_pe740827_s5.jpg?f=xxs
"DOCKSTA Table, 40 1/2 ""","Table,",279,https://www.ikea.com/us/en/images/products/docksta-table-white-white__0803262_pe768820_s5.jpg?f=xxs
"SKANSNÄS Extendable table, 45 1/4/66 7/8 ""","Extendable table,",699,https://www.ikea.com/us/en/images/products/skansnaes-extendable-table-brown-beech-veneer__1262371_pe927057_s5.jpg?f=xxs
"MÖRBYLÅNGA / LILLÅNÄS Table and 6 chairs, 86 5/8x39 3/8 ""","Table and 6 chairs,","1,549",https://www.ikea.com/us/en/images/products/moerbylanga-lillanaes-table-and-6-chairs-oak-veneer-brown-stained-chrome-plated-bomstad-black__1155531_pe886651_s5.jpg?f=xxs
"VOXLÖV / VOXLÖV Table and 4 chairs, 70 7/8x35 3/8 ""","Table and 4 chairs,",899,https://www.ikea.com/us/en/images/products/voxloev-voxloev-table-and-4-chairs-bamboo-bamboo__0926660_pe789444_s5.jpg?f=xxs
"MÖRBYLÅNGA Table, 57 1/8 ""","Table,",699,https://www.ikea.com/us/en/images/products/moerbylanga-table-oak-veneer-brown-stained__0737109_pe740887_s5.jpg?f=xxs
"INGATORP / INGOLF Table and 6 chairs, 43 1/4/61 ""","Table and 6 chairs,",919,https://www.ikea.com/us/en/images/products/ingatorp-ingolf-table-and-6-chairs-black-brown-black__1099598_pe865803_s5.jpg?f=xxs
JOKKMOKK Table and 4 chairs,Table and 4 chairs,199,https://www.ikea.com/us/en/images/products/jokkmokk-table-and-4-chairs-antique-stain__0736929_pe740809_s5.jpg?f=xxs
"SKOGSTA Dining table, 92 1/2x39 3/8 ""","Dining table,",549,https://www.ikea.com/us/en/images/products/skogsta-dining-table-acacia__0546603_pe656255_s5.jpg?f=xxs
"MÖRBYLÅNGA Table, 86 5/8x39 3/8 ""","Table,",799,https://www.ikea.com/us/en/images/products/moerbylanga-table-oak-veneer-brown-stained__0737110_pe740888_s5.jpg?f=xxs
"NORDEN Gateleg table, 10 1/4/35/59 7/8x31 1/2 ""","Gateleg table,",349,https://www.ikea.com/us/en/images/products/norden-gateleg-table-birch__66396_pe179294_s5.jpg?f=xxs
"MÖRBYLÅNGA / KLINTEN Table and 4 chairs, 57 1/8 ""","Table and 4 chairs,","1,039",https://www.ikea.com/us/en/images/products/moerbylanga-klinten-table-and-4-chairs-oak-veneer-brown-stained-kilanda-dark-gray__1209077_pe909013_s5.jpg?f=xxs
"MELLTORP / ADDE Table and 4 chairs, 49 1/4 ""","Table and 4 chairs,",149,https://www.ikea.com/us/en/images/products/melltorp-adde-table-and-4-chairs-white__0737986_pe741287_s5.jpg?f=xxs
"SKOGSTA / NORDVIKEN Table and 6 chairs, 92 1/2x39 3/8 ""","Table and 6 chairs,",939,https://www.ikea.com/us/en/images/products/skogsta-nordviken-table-and-6-chairs-acacia-black__1097254_pe864851_s5.jpg?f=xxs
"NORDVIKEN Extendable table, 82 5/8/113 3/4x41 3/8 ""","Extendable table,",699,https://www.ikea.com/us/en/images/products/nordviken-extendable-table-antique-stain__0832852_pe777856_s5.jpg?f=xxs
"INGATORP / EKEDALEN Table and 4 chairs, 43 1/4/61 ""","Table and 4 chairs,",739,https://www.ikea.com/us/en/images/products/ingatorp-ekedalen-table-and-4-chairs-white-white-orrsta-light-gray__1097262_pe864858_s5.jpg?f=xxs
"DANDERYD / INGOLF Table and 4 chairs, 51 1/8 ""","Table and 4 chairs,",529,https://www.ikea.com/us/en/images/products/danderyd-ingolf-table-and-4-chairs-black-nolhaga-gray-beige__1231960_pe916293_s5.jpg?f=xxs
"LISABO / LISABO Table and 6 chairs, 78 3/4 ""","Table and 6 chairs,",709,https://www.ikea.com/us/en/images/products/lisabo-lisabo-table-and-6-chairs-ash-veneer-ash-veneer__1265111_pe927513_s5.jpg?f=xxs
"MELLTORP / ADDE Table and 2 chairs, 29 1/2 ""","Table and 2 chairs,",64,https://www.ikea.com/us/en/images/products/melltorp-adde-table-and-2-chairs-white__0737985_pe741286_s5.jpg?f=xxs
"EKEDALEN / EKEDALEN Table and 6 chairs, 47 1/4/70 7/8 ""","Table and 6 chairs,",659,https://www.ikea.com/us/en/images/products/ekedalen-ekedalen-table-and-6-chairs-dark-brown-dark-brown-orrsta-light-gray__1097431_pe864942_s5.jpg?f=xxs
"LISABO / LISABO Table and 4 chairs, 55 1/8x30 3/4 ""","Table and 4 chairs,",509,https://www.ikea.com/us/en/images/products/lisabo-lisabo-table-and-4-chairs-ash-veneer-ash__0921113_pe787668_s5.jpg?f=xxs
"MÖRBYLÅNGA Table, 55x33 ""","Table,",599,https://www.ikea.com/us/en/images/products/moerbylanga-table-oak-veneer-brown-stained__0737108_pe740890_s5.jpg?f=xxs
"PINNTORP / PINNTORP Table and 4 chairs, 49 1/4 ""","Table and 4 chairs,",309,https://www.ikea.com/us/en/images/products/pinntorp-pinntorp-table-and-4-chairs-light-brown-stained-white-stained-light-brown-stained__1301604_pe937493_s5.jpg?f=xxs
"PINNTORP Gateleg table, 26 3/8/48 7/8x29 1/2 ""","Gateleg table,",229,https://www.ikea.com/us/en/images/products/pinntorp-gateleg-table-light-brown-stained-white-stained__1118101_pe872927_s5.jpg?f=xxs
"EKEDALEN Extendable table, 47 1/4/70 7/8x31 1/2 ""","Extendable table,",299,https://www.ikea.com/us/en/images/products/ekedalen-extendable-table-dark-brown__0736963_pe740827_s5.jpg?f=xxs
"DOCKSTA Table, 40 1/2 ""","Table,",279,https://www.ikea.com/us/en/images/products/docksta-table-white-white__0803262_pe768820_s5.jpg?f=xxs
"SKANSNÄS Extendable table, 45 1/4/66 7/8 ""","Extendable table,",699,https://www.ikea.com/us/en/images/products/skansnaes-extendable-table-brown-beech-veneer__1262371_pe927057_s5.jpg?f=xxs
"MÖRBYLÅNGA / LILLÅNÄS Table and 6 chairs, 86 5/8x39 3/8 ""","Table and 6 chairs,","1,549",https://www.ikea.com/us/en/images/products/moerbylanga-lillanaes-table-and-6-chairs-oak-veneer-brown-stained-chrome-plated-bomstad-black__1155531_pe886651_s5.jpg?f=xxs
"VOXLÖV / VOXLÖV Table and 4 chairs, 70 7/8x35 3/8 ""","Table and 4 chairs,",899,https://www.ikea.com/us/en/images/products/voxloev-voxloev-table-and-4-chairs-bamboo-bamboo__0926660_pe789444_s5.jpg?f=xxs
"MÖRBYLÅNGA Table, 57 1/8 ""","Table,",699,https://www.ikea.com/us/en/images/products/moerbylanga-table-oak-veneer-brown-stained__0737109_pe740887_s5.jpg?f=xxs
"INGATORP / INGOLF Table and 6 chairs, 43 1/4/61 ""","Table and 6 chairs,",919,https://www.ikea.com/us/en/images/products/ingatorp-ingolf-table-and-6-chairs-black-brown-black__1099598_pe865803_s5.jpg?f=xxs
JOKKMOKK Table and 4 chairs,Table and 4 chairs,199,https://www.ikea.com/us/en/images/products/jokkmokk-table-and-4-chairs-antique-stain__0736929_pe740809_s5.jpg?f=xxs
"SKOGSTA Dining table, 92 1/2x39 3/8 ""","Dining table,",549,https://www.ikea.com/us/en/images/products/skogsta-dining-table-acacia__0546603_pe656255_s5.jpg?f=xxs
"MÖRBYLÅNGA Table, 86 5/8x39 3/8 ""","Table,",799,https://www.ikea.com/us/en/images/products/moerbylanga-table-oak-veneer-brown-stained__0737110_pe740888_s5.jpg?f=xxs
"NORDEN Gateleg table, 10 1/4/35/59 7/8x31 1/2 ""","Gateleg table,",349,https://www.ikea.com/us/en/images/products/norden-gateleg-table-birch__66396_pe179294_s5.jpg?f=xxs
"MÖRBYLÅNGA / KLINTEN Table and 4 chairs, 57 1/8 ""","Table and 4 chairs,","1,039",https://www.ikea.com/us/en/images/products/moerbylanga-klinten-table-and-4-chairs-oak-veneer-brown-stained-kilanda-dark-gray__1209077_pe909013_s5.jpg?f=xxs
"MELLTORP / ADDE Table and 4 chairs, 49 1/4 ""","Table and 4 chairs,",149,https://www.ikea.com/us/en/images/products/melltorp-adde-table-and-4-chairs-white__0737986_pe741287_s5.jpg?f=xxs
"SKOGSTA / NORDVIKEN Table and 6 chairs, 92 1/2x39 3/8 ""","Table and 6 chairs,",939,https://www.ikea.com/us/en/images/products/skogsta-nordviken-table-and-6-chairs-acacia-black__1097254_pe864851_s5.jpg?f=xxs
"NORDVIKEN Extendable table, 82 5/8/113 3/4x41 3/8 ""","Extendable table,",699,https://www.ikea.com/us/en/images/products/nordviken-extendable-table-antique-stain__0832852_pe777856_s5.jpg?f=xxs
"INGATORP / EKEDALEN Table and 4 chairs, 43 1/4/61 ""","Table and 4 chairs,",739,https://www.ikea.com/us/en/images/products/ingatorp-ekedalen-table-and-4-chairs-white-white-orrsta-light-gray__1097262_pe864858_s5.jpg?f=xxs
"DANDERYD / INGOLF Table and 4 chairs, 51 1/8 ""","Table and 4 chairs,",529,https://www.ikea.com/us/en/images/products/danderyd-ingolf-table-and-4-chairs-black-nolhaga-gray-beige__1231960_pe916293_s5.jpg?f=xxs
"LISABO / LISABO Table and 6 chairs, 78 3/4 ""","Table and 6 chairs,",709,https://www.ikea.com/us/en/images/products/lisabo-lisabo-table-and-6-chairs-ash-veneer-ash-veneer__1265111_pe927513_s5.jpg?f=xxs
"MELLTORP / ADDE Table and 2 chairs, 29 1/2 ""","Table and 2 chairs,",64,https://www.ikea.com/us/en/images/products/melltorp-adde-table-and-2-chairs-white__0737985_pe741286_s5.jpg?f=xxs
"EKEDALEN / EKEDALEN Table and 6 chairs, 47 1/4/70 7/8 ""","Table and 6 chairs,",659,https://www.ikea.com/us/en/images/products/ekedalen-ekedalen-table-and-6-chairs-dark-brown-dark-brown-orrsta-light-gray__1097431_pe864942_s5.jpg?f=xxs
"LISABO / LISABO Table and 4 chairs, 55 1/8x30 3/4 ""","Table and 4 chairs,",509,https://www.ikea.com/us/en/images/products/lisabo-lisabo-table-and-4-chairs-ash-veneer-ash__0921113_pe787668_s5.jpg?f=xxs
"MÖRBYLÅNGA Table, 55x33 ""","Table,",599,https://www.ikea.com/us/en/images/products/moerbylanga-table-oak-veneer-brown-stained__0737108_pe740890_s5.jpg?f=xxs
"PINNTORP / PINNTORP Table and 4 chairs, 49 1/4 ""","Table and 4 chairs,",309,https://www.ikea.com/us/en/images/products/pinntorp-pinntorp-table-and-4-chairs-light-brown-stained-white-stained-light-brown-stained__1301604_pe937493_s5.jpg?f=xxs
"PINNTORP Gateleg table, 26 3/8/48 7/8x29 1/2 ""","Gateleg table,",229,https://www.ikea.com/us/en/images/products/pinntorp-gateleg-table-light-brown-stained-white-stained__1118101_pe872927_s5.jpg?f=xxs
"EKEDALEN Extendable table, 47 1/4/70 7/8x31 1/2 ""","Extendable table,",299,https://www.ikea.com/us/en/images/products/ekedalen-extendable-table-dark-brown__0736963_pe740827_s5.jpg?f=xxs
"DOCKSTA Table, 40 1/2 ""","Table,",279,https://www.ikea.com/us/en/images/products/docksta-table-white-white__0803262_pe768820_s5.jpg?f=xxs
"SKANSNÄS Extendable table, 45 1/4/66 7/8 ""","Extendable table,",699,https://www.ikea.com/us/en/images/products/skansnaes-extendable-table-brown-beech-veneer__1262371_pe927057_s5.jpg?f=xxs
"MÖRBYLÅNGA / LILLÅNÄS Table and 6 chairs, 86 5/8x39 3/8 ""","Table and 6 chairs,","1,549",https://www.ikea.com/us/en/images/products/moerbylanga-lillanaes-table-and-6-chairs-oak-veneer-brown-stained-chrome-plated-bomstad-black__1155531_pe886651_s5.jpg?f=xxs
"VOXLÖV / VOXLÖV Table and 4 chairs, 70 7/8x35 3/8 ""","Table and 4 chairs,",899,https://www.ikea.com/us/en/images/products/voxloev-voxloev-table-and-4-chairs-bamboo-bamboo__0926660_pe789444_s5.jpg?f=xxs
"MÖRBYLÅNGA Table, 57 1/8 ""","Table,",699,https://www.ikea.com/us/en/images/products/moerbylanga-table-oak-veneer-brown-stained__0737109_pe740887_s5.jpg?f=xxs
"INGATORP / INGOLF Table and 6 chairs, 43 1/4/61 ""","Table and 6 chairs,",919,https://www.ikea.com/us/en/images/products/ingatorp-ingolf-table-and-6-chairs-black-brown-black__1099598_pe865803_s5.jpg?f=xxs
JOKKMOKK Table and 4 chairs,Table and 4 chairs,199,https://www.ikea.com/us/en/images/products/jokkmokk-table-and-4-chairs-antique-stain__0736929_pe740809_s5.jpg?f=xxs
"SKOGSTA Dining table, 92 1/2x39 3/8 ""","Dining table,",549,https://www.ikea.com/us/en/images/products/skogsta-dining-table-acacia__0546603_pe656255_s5.jpg?f=xxs
"MÖRBYLÅNGA Table, 86 5/8x39 3/8 ""","Table,",799,https://www.ikea.com/us/en/images/products/moerbylanga-table-oak-veneer-brown-stained__0737110_pe740888_s5.jpg?f=xxs
"NORDEN Gateleg table, 10 1/4/35/59 7/8x31 1/2 ""","Gateleg table,",349,https://www.ikea.com/us/en/images/products/norden-gateleg-table-birch__66396_pe179294_s5.jpg?f=xxs
"MÖRBYLÅNGA / KLINTEN Table and 4 chairs, 57 1/8 ""","Table and 4 chairs,","1,039",https://www.ikea.com/us/en/images/products/moerbylanga-klinten-table-and-4-chairs-oak-veneer-brown-stained-kilanda-dark-gray__1209077_pe909013_s5.jpg?f=xxs
"MELLTORP / ADDE Table and 4 chairs, 49 1/4 ""","Table and 4 chairs,",149,https://www.ikea.com/us/en/images/products/melltorp-adde-table-and-4-chairs-white__0737986_pe741287_s5.jpg?f=xxs
"SKOGSTA / NORDVIKEN Table and 6 chairs, 92 1/2x39 3/8 ""","Table and 6 chairs,",939,https://www.ikea.com/us/en/images/products/skogsta-nordviken-table-and-6-chairs-acacia-black__1097254_pe864851_s5.jpg?f=xxs
"NORDVIKEN Extendable table, 82 5/8/113 3/4x41 3/8 ""","Extendable table,",699,https://www.ikea.com/us/en/images/products/nordviken-extendable-table-antique-stain__0832852_pe777856_s5.jpg?f=xxs
"INGATORP / EKEDALEN Table and 4 chairs, 43 1/4/61 ""","Table and 4 chairs,",739,https://www.ikea.com/us/en/images/products/ingatorp-ekedalen-table-and-4-chairs-white-white-orrsta-light-gray__1097262_pe864858_s5.jpg?f=xxs
"DANDERYD / INGOLF Table and 4 chairs, 51 1/8 ""","Table and 4 chairs,",529,https://www.ikea.com/us/en/images/products/danderyd-ingolf-table-and-4-chairs-black-nolhaga-gray-beige__1231960_pe916293_s5.jpg?f=xxs
"LISABO / LISABO Table and 6 chairs, 78 3/4 ""","Table and 6 chairs,",709,https://www.ikea.com/us/en/images/products/lisabo-lisabo-table-and-6-chairs-ash-veneer-ash-veneer__1265111_pe927513_s5.jpg?f=xxs
"MELLTORP / ADDE Table and 2 chairs, 29 1/2 ""","Table and 2 chairs,",64,https://www.ikea.com/us/en/images/products/melltorp-adde-table-and-2-chairs-white__0737985_pe741286_s5.jpg?f=xxs
"EKEDALEN / EKEDALEN Table and 6 chairs, 47 1/4/70 7/8 ""","Table and 6 chairs,",659,https://www.ikea.com/us/en/images/products/ekedalen-ekedalen-table-and-6-chairs-dark-brown-dark-brown-orrsta-light-gray__1097431_pe864942_s5.jpg?f=xxs
"LISABO / LISABO Table and 4 chairs, 55 1/8x30 3/4 ""","Table and 4 chairs,",509,https://www.ikea.com/us/en/images/products/lisabo-lisabo-table-and-4-chairs-ash-veneer-ash__0921113_pe787668_s5.jpg?f=xxs
"MÖRBYLÅNGA Table, 55x33 ""","Table,",599,https://www.ikea.com/us/en/images/products/moerbylanga-table-oak-veneer-brown-stained__0737108_pe740890_s5.jpg?f=xxs
"PINNTORP / PINNTORP Table and 4 chairs, 49 1/4 ""","Table and 4 chairs,",309,https://www.ikea.com/us/en/images/products/pinntorp-pinntorp-table-and-4-chairs-light-brown-stained-white-stained-light-brown-stained__1301604_pe937493_s5.jpg?f=xxs
"PINNTORP Gateleg table, 26 3/8/48 7/8x29 1/2 ""","Gateleg table,",229,https://www.ikea.com/us/en/images/products/pinntorp-gateleg-table-light-brown-stained-white-stained__1118101_pe872927_s5.jpg?f=xxs
"EKEDALEN Extendable table, 47 1/4/70 7/8x31 1/2 ""","Extendable table,",299,https://www.ikea.com/us/en/images/products/ekedalen-extendable-table-dark-brown__0736963_pe740827_s5.jpg?f=xxs
"DOCKSTA Table, 40 1/2 ""","Table,",279,https://www.ikea.com/us/en/images/products/docksta-table-white-white__0803262_pe768820_s5.jpg?f=xxs
"SKANSNÄS Extendable table, 45 1/4/66 7/8 ""","Extendable table,",699,https://www.ikea.com/us/en/images/products/skansnaes-extendable-table-brown-beech-veneer__1262371_pe927057_s5.jpg?f=xxs
"MÖRBYLÅNGA / LILLÅNÄS Table and 6 chairs, 86 5/8x39 3/8 ""","Table and 6 chairs,","1,549",https://www.ikea.com/us/en/images/products/moerbylanga-lillanaes-table-and-6-chairs-oak-veneer-brown-stained-chrome-plated-bomstad-black__1155531_pe886651_s5.jpg?f=xxs
"VOXLÖV / VOXLÖV Table and 4 chairs, 70 7/8x35 3/8 ""","Table and 4 chairs,",899,https://www.ikea.com/us/en/images/products/voxloev-voxloev-table-and-4-chairs-bamboo-bamboo__0926660_pe789444_s5.jpg?f=xxs
"MÖRBYLÅNGA Table, 57 1/8 ""","Table,",699,https://www.ikea.com/us/en/images/products/moerbylanga-table-oak-veneer-brown-stained__0737109_pe740887_s5.jpg?f=xxs
"INGATORP / INGOLF Table and 6 chairs, 43 1/4/61 ""","Table and 6 chairs,",919,https://www.ikea.com/us/en/images/products/ingatorp-ingolf-table-and-6-chairs-black-brown-black__1099598_pe865803_s5.jpg?f=xxs
JOKKMOKK Table and 4 chairs,Table and 4 chairs,199,https://www.ikea.com/us/en/images/products/jokkmokk-table-and-4-chairs-antique-stain__0736929_pe740809_s5.jpg?f=xxs
"SKOGSTA Dining table, 92 1/2x39 3/8 ""","Dining table,",549,https://www.ikea.com/us/en/images/products/skogsta-dining-table-acacia__0546603_pe656255_s5.jpg?f=xxs
"MÖRBYLÅNGA Table, 86 5/8x39 3/8 ""","Table,",799,https://www.ikea.com/us/en/images/products/moerbylanga-table-oak-veneer-brown-stained__0737110_pe740888_s5.jpg?f=xxs
"NORDEN Gateleg table, 10 1/4/35/59 7/8x31 1/2 ""","Gateleg table,",349,https://www.ikea.com/us/en/images/products/norden-gateleg-table-birch__66396_pe179294_s5.jpg?f=xxs
"MÖRBYLÅNGA / KLINTEN Table and 4 chairs, 57 1/8 ""","Table and 4 chairs,","1,039",https://www.ikea.com/us/en/images/products/moerbylanga-klinten-table-and-4-chairs-oak-veneer-brown-stained-kilanda-dark-gray__1209077_pe909013_s5.jpg?f=xxs
"MELLTORP / ADDE Table and 4 chairs, 49 1/4 ""","Table and 4 chairs,",149,https://www.ikea.com/us/en/images/products/melltorp-adde-table-and-4-chairs-white__0737986_pe741287_s5.jpg?f=xxs
"SKOGSTA / NORDVIKEN Table and 6 chairs, 92 1/2x39 3/8 ""","Table and 6 chairs,",939,https://www.ikea.com/us/en/images/products/skogsta-nordviken-table-and-6-chairs-acacia-black__1097254_pe864851_s5.jpg?f=xxs
"NORDVIKEN Extendable table, 82 5/8/113 3/4x41 3/8 ""","Extendable table,",699,https://www.ikea.com/us/en/images/products/nordviken-extendable-table-antique-stain__0832852_pe777856_s5.jpg?f=xxs
"INGATORP / EKEDALEN Table and 4 chairs, 43 1/4/61 ""","Table and 4 chairs,",739,https://www.ikea.com/us/en/images/products/ingatorp-ekedalen-table-and-4-chairs-white-white-orrsta-light-gray__1097262_pe864858_s5.jpg?f=xxs
"DANDERYD / INGOLF Table and 4 chairs, 51 1/8 ""","Table and 4 chairs,",529,https://www.ikea.com/us/en/images/products/danderyd-ingolf-table-and-4-chairs-black-nolhaga-gray-beige__1231960_pe916293_s5.jpg?f=xxs
"LISABO / LISABO Table and 6 chairs, 78 3/4 ""","Table and 6 chairs,",709,https://www.ikea.com/us/en/images/products/lisabo-lisabo-table-and-6-chairs-ash-veneer-ash-veneer__1265111_pe927513_s5.jpg?f=xxs
"MELLTORP / ADDE Table and 2 chairs, 29 1/2 ""","Table and 2 chairs,",64,https://www.ikea.com/us/en/images/products/melltorp-adde-table-and-2-chairs-white__0737985_pe741286_s5.jpg?f=xxs
"EKEDALEN / EKEDALEN Table and 6 chairs, 47 1/4/70 7/8 ""","Table and 6 chairs,",659,https://www.ikea.com/us/en/images/products/ekedalen-ekedalen-table-and-6-chairs-dark-brown-dark-brown-orrsta-light-gray__1097431_pe864942_s5.jpg?f=xxs
"LISABO / LISABO Table and 4 chairs, 55 1/8x30 3/4 ""","Table and 4 chairs,",509,https://www.ikea.com/us/en/images/products/lisabo-lisabo-table-and-4-chairs-ash-veneer-ash__0921113_pe787668_s5.jpg?f=xxs
"MÖRBYLÅNGA Table, 55x33 ""","Table,",599,https://www.ikea.com/us/en/images/products/moerbylanga-table-oak-veneer-brown-stained__0737108_pe740890_s5.jpg?f=xxs
"PINNTORP / PINNTORP Table and 4 chairs, 49 1/4 ""","Table and 4 chairs,",309,https://www.ikea.com/us/en/images/products/pinntorp-pinntorp-table-and-4-chairs-light-brown-stained-white-stained-light-brown-stained__1301604_pe937493_s5.jpg?f=xxs
"PINNTORP Gateleg table, 26 3/8/48 7/8x29 1/2 ""","Gateleg table,",229,https://www.ikea.com/us/en/images/products/pinntorp-gateleg-table-light-brown-stained-white-stained__1118101_pe872927_s5.jpg?f=xxs
"EKEDALEN Extendable table, 47 1/4/70 7/8x31 1/2 ""","Extendable table,",299,https://www.ikea.com/us/en/images/products/ekedalen-extendable-table-dark-brown__0736963_pe740827_s5.jpg?f=xxs
"DOCKSTA Table, 40 1/2 ""","Table,",279,https://www.ikea.com/us/en/images/products/docksta-table-white-white__0803262_pe768820_s5.jpg?f=xxs
"SKANSNÄS Extendable table, 45 1/4/66 7/8 ""","Extendable table,",699,https://www.ikea.com/us/en/images/products/skansnaes-extendable-table-brown-beech-veneer__1262371_pe927057_s5.jpg?f=xxs
"MÖRBYLÅNGA / LILLÅNÄS Table and 6 chairs, 86 5/8x39 3/8 ""","Table and 6 chairs,","1,549",https://www.ikea.com/us/en/images/products/moerbylanga-lillanaes-table-and-6-chairs-oak-veneer-brown-stained-chrome-plated-bomstad-black__1155531_pe886651_s5.jpg?f=xxs
"VOXLÖV / VOXLÖV Table and 4 chairs, 70 7/8x35 3/8 ""","Table and 4 chairs,",899,https://www.ikea.com/us/en/images/products/voxloev-voxloev-table-and-4-chairs-bamboo-bamboo__0926660_pe789444_s5.jpg?f=xxs
"MÖRBYLÅNGA Table, 57 1/8 ""","Table,",699,https://www.ikea.com/us/en/images/products/moerbylanga-table-oak-veneer-brown-stained__0737109_pe740887_s5.jpg?f=xxs
"INGATORP / INGOLF Table and 6 chairs, 43 1/4/61 ""","Table and 6 chairs,",919,https://www.ikea.com/us/en/images/products/ingatorp-ingolf-table-and-6-chairs-black-brown-black__1099598_pe865803_s5.jpg?f=xxs
JOKKMOKK Table and 4 chairs,Table and 4 chairs,199,https://www.ikea.com/us/en/images/products/jokkmokk-table-and-4-chairs-antique-stain__0736929_pe740809_s5.jpg?f=xxs
"SKOGSTA Dining table, 92 1/2x39 3/8 ""","Dining table,",549,https://www.ikea.com/us/en/images/products/skogsta-dining-table-acacia__0546603_pe656255_s5.jpg?f=xxs
"MÖRBYLÅNGA Table, 86 5/8x39 3/8 ""","Table,",799,https://www.ikea.com/us/en/images/products/moerbylanga-table-oak-veneer-brown-stained__0737110_pe740888_s5.jpg?f=xxs
"NORDEN Gateleg table, 10 1/4/35/59 7/8x31 1/2 ""","Gateleg table,",349,https://www.ikea.com/us/en/images/products/norden-gateleg-table-birch__66396_pe179294_s5.jpg?f=xxs
"MÖRBYLÅNGA / KLINTEN Table and 4 chairs, 57 1/8 ""","Table and 4 chairs,","1,039",https://www.ikea.com/us/en/images/products/moerbylanga-klinten-table-and-4-chairs-oak-veneer-brown-stained-kilanda-dark-gray__1209077_pe909013_s5.jpg?f=xxs
"MELLTORP / ADDE Table and 4 chairs, 49 1/4 ""","Table and 4 chairs,",149,https://www.ikea.com/us/en/images/products/melltorp-adde-table-and-4-chairs-white__0737986_pe741287_s5.jpg?f=xxs
"SKOGSTA / NORDVIKEN Table and 6 chairs, 92 1/2x39 3/8 ""","Table and 6 chairs,",939,https://www.ikea.com/us/en/images/products/skogsta-nordviken-table-and-6-chairs-acacia-black__1097254_pe864851_s5.jpg?f=xxs
"NORDVIKEN Extendable table, 82 5/8/113 3/4x41 3/8 ""","Extendable table,",699,https://www.ikea.com/us/en/images/products/nordviken-extendable-table-antique-stain__0832852_pe777856_s5.jpg?f=xxs
"INGATORP / EKEDALEN Table and 4 chairs, 43 1/4/61 ""","Table and 4 chairs,",739,https://www.ikea.com/us/en/images/products/ingatorp-ekedalen-table-and-4-chairs-white-white-orrsta-light-gray__1097262_pe864858_s5.jpg?f=xxs
"DANDERYD / INGOLF Table and 4 chairs, 51 1/8 ""","Table and 4 chairs,",529,https://www.ikea.com/us/en/images/products/danderyd-ingolf-table-and-4-chairs-black-nolhaga-gray-beige__1231960_pe916293_s5.jpg?f=xxs
"LISABO / LISABO Table and 6 chairs, 78 3/4 ""","Table and 6 chairs,",709,https://www.ikea.com/us/en/images/products/lisabo-lisabo-table-and-6-chairs-ash-veneer-ash-veneer__1265111_pe927513_s5.jpg?f=xxs
"MELLTORP / ADDE Table and 2 chairs, 29 1/2 ""","Table and 2 chairs,",64,https://www.ikea.com/us/en/images/products/melltorp-adde-table-and-2-chairs-white__0737985_pe741286_s5.jpg?f=xxs
"EKEDALEN / EKEDALEN Table and 6 chairs, 47 1/4/70 7/8 ""","Table and 6 chairs,",659,https://www.ikea.com/us/en/images/products/ekedalen-ekedalen-table-and-6-chairs-dark-brown-dark-brown-orrsta-light-gray__1097431_pe864942_s5.jpg?f=xxs
"LISABO / LISABO Table and 4 chairs, 55 1/8x30 3/4 ""","Table and 4 chairs,",509,https://www.ikea.com/us/en/images/products/lisabo-lisabo-table-and-4-chairs-ash-veneer-ash__0921113_pe787668_s5.jpg?f=xxs
"MÖRBYLÅNGA Table, 55x33 ""","Table,",599,https://www.ikea.com/us/en/images/products/moerbylanga-table-oak-veneer-brown-stained__0737108_pe740890_s5.jpg?f=xxs
"PINNTORP / PINNTORP Table and 4 chairs, 49 1/4 ""","Table and 4 chairs,",309,https://www.ikea.com/us/en/images/products/pinntorp-pinntorp-table-and-4-chairs-light-brown-stained-white-stained-light-brown-stained__1301604_pe937493_s5.jpg?f=xxs
"PINNTORP Gateleg table, 26 3/8/48 7/8x29 1/2 ""","Gateleg table,",229,https://www.ikea.com/us/en/images/products/pinntorp-gateleg-table-light-brown-stained-white-stained__1118101_pe872927_s5.jpg?f=xxs
"EKEDALEN Extendable table, 47 1/4/70 7/8x31 1/2 ""","Extendable table,",299,https://www.ikea.com/us/en/images/products/ekedalen-extendable-table-dark-brown__0736963_pe740827_s5.jpg?f=xxs
"DOCKSTA Table, 40 1/2 ""","Table,",279,https://www.ikea.com/us/en/images/products/docksta-table-white-white__0803262_pe768820_s5.jpg?f=xxs
"SKANSNÄS Extendable table, 45 1/4/66 7/8 ""","Extendable table,",699,https://www.ikea.com/us/en/images/products/skansnaes-extendable-table-brown-beech-veneer__1262371_pe927057_s5.jpg?f=xxs
